age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
208,1,175.5959,0.04322,7.5893,137.65,145.239,152.828,160.417,168.007,175.596,183.185,190.774,198.364,205.953,17,0
209,1,175.685,0.04311,7.5738,137.816,145.39,152.964,160.537,168.111,175.685,183.259,190.833,198.406,205.98,17,0
210,1,175.7672,0.04301,7.5597,137.968,145.528,153.088,160.648,168.207,175.767,183.327,190.887,198.446,206.006,17,0
211,1,175.8432,0.04291,7.5454,138.116,145.661,153.207,160.752,168.298,175.843,183.389,190.934,198.479,206.025,17,0
212,1,175.9133,0.04281,7.5308,138.259,145.79,153.321,160.852,168.382,175.913,183.444,190.975,198.506,206.037,17,0
213,1,175.9781,0.04271,7.516,138.398,145.914,153.43,160.946,168.462,175.978,183.494,191.01,198.526,206.042,17,0
214,1,176.038,0.04261,7.501,138.533,146.034,153.535,161.036,168.537,176.038,183.539,191.04,198.541,206.042,17,0
215,1,176.0935,0.04251,7.4857,138.665,146.151,153.636,161.122,168.608,176.094,183.579,191.065,198.551,206.036,17,0
216,1,176.1449,0.04241,7.4703,138.793,146.264,153.734,161.204,168.675,176.145,183.615,191.086,198.556,206.026,18,0
217,1,176.1925,0.04232,7.4565,138.91,146.367,153.823,161.28,168.736,176.192,183.649,191.105,198.562,206.018,18,0
218,1,176.2368,0.04222,7.4407,139.033,146.474,153.915,161.355,168.796,176.237,183.678,191.118,198.559,206,18,0
219,1,176.2779,0.04213,7.4266,139.145,146.572,153.998,161.425,168.851,176.278,183.704,191.131,198.558,205.984,18,0
220,1,176.3162,0.04204,7.4123,139.255,146.667,154.079,161.492,168.904,176.316,183.729,191.141,198.553,205.966,18,0
221,1,176.3518,0.04195,7.398,139.362,146.76,154.158,161.556,168.954,176.352,183.75,191.148,198.546,205.944,18,0
222,1,176.3851,0.04185,7.3817,139.477,146.858,154.24,161.622,169.003,176.385,183.767,191.149,198.53,205.912,18,0
223,1,176.4162,0.04177,7.3689,139.572,146.941,154.309,161.678,169.047,176.416,183.785,191.154,198.523,205.892,18,0
224,1,176.4453,0.04168,7.3542,139.674,147.028,154.383,161.737,169.091,176.445,183.8,191.154,198.508,205.862,18,0
225,1,176.4724,0.04159,7.3395,139.775,147.114,154.454,161.793,169.133,176.472,183.812,191.151,198.491,205.83,18,0
226,1,176.4976,0.0415,7.3247,139.874,147.199,154.524,161.848,169.173,176.498,183.822,191.147,198.472,205.796,18,0
227,1,176.5211,0.04142,7.3115,139.964,147.275,154.587,161.898,169.21,176.521,183.833,191.144,198.456,205.767,18,0
228,1,176.5432,0.04134,7.2983,140.052,147.35,154.648,161.947,169.245,176.543,183.841,191.14,198.438,205.736,19,0
61,1,109.6016,0.04355,4.7731,85.736,90.509,95.282,100.055,104.828,109.602,114.375,119.148,123.921,128.694,5,1
62,1,110.1258,0.04364,4.8059,86.096,90.902,95.708,100.514,105.32,110.126,114.932,119.738,124.543,129.349,5,1
63,1,110.6451,0.04373,4.8385,86.453,91.291,96.13,100.968,105.807,110.645,115.484,120.322,125.161,129.999,5,1
64,1,111.1596,0.04382,4.871,86.805,91.676,96.547,101.418,106.289,111.16,116.031,120.902,125.773,130.644,5,1
65,1,111.6696,0.0439,4.9023,87.158,92.06,96.963,101.865,106.767,111.67,116.572,121.474,126.376,131.279,5,1
66,1,112.1753,0.04399,4.9346,87.502,92.437,97.372,102.306,107.241,112.175,117.11,122.044,126.979,131.914,5,1
67,1,112.6767,0.04407,4.9657,87.848,92.814,97.78,102.745,107.711,112.677,117.642,122.608,127.574,132.539,5,1
68,1,113.174,0.04415,4.9966,88.191,93.187,98.184,103.181,108.177,113.174,118.171,123.167,128.164,133.161,5,1
69,1,113.6672,0.04423,5.0275,88.53,93.557,98.585,103.612,108.64,113.667,118.695,123.722,128.75,133.777,5,1
70,1,114.1565,0.04431,5.0583,88.865,93.923,98.982,104.04,109.098,114.156,119.215,124.273,129.331,134.39,5,1
71,1,114.6421,0.04439,5.089,89.197,94.286,99.375,104.464,109.553,114.642,119.731,124.82,129.909,134.998,5,1
72,1,115.1244,0.04447,5.1196,89.526,94.646,99.766,104.885,110.005,115.124,120.244,125.364,130.483,135.603,6,1
73,1,115.6039,0.04454,5.149,89.859,95.008,100.157,105.306,110.455,115.604,120.753,125.902,131.051,136.2,6,1
74,1,116.0812,0.04461,5.1784,90.189,95.368,100.546,105.724,110.903,116.081,121.26,126.438,131.616,136.795,6,1
